LOCATION,latitude,longitude,incidence,RISK,100,cfr,Z,NEW CASES,TOTAL CASES,NEW DEATHS,TOTAL DEATHS,rank
Chautauqua|Kansas|US,37.14994405,-96.2454192,153.8461538,0,0,0,0,0,7,0,0,1
Cherokee|Kansas|US,37.16928494,-94.8462897,366.1166558,0,0,0,0,0,204,0,0,1
Cheyenne|Kansas|US,39.78580976,-101.7318201,75.27286413,0,0,0,0,0,5,0,0,1
Clark|Kansas|US,37.23577007,-99.81883015,2106.318957,0,0,2.222222222,0,0,45,0,1,1
Clay|Kansas|US,39.34948772,-97.16518128,212.4468883,0,0,8.695652174,0,0,23,0,2,1
Cloud|Kansas|US,39.48028352,-97.64925343,318.6888231,0,0,0,0,0,43,0,0,1
Coffey|Kansas|US,38.2365018,-95.73379515,782.4917472,0,0,10.95890411,0,0,73,0,8,1
Comanche|Kansas|US,37.1911452,-99.27113247,176.4705882,0,0,0,0,0,9,0,0,1
Cowley|Kansas|US,37.23781842,-96.83776647,418.2422367,0,0,0.900900901,0,0,222,0,2,1
Crawford|Kansas|US,37.50675523,-94.85245778,942.8615591,0,0,0.242130751,0,0,413,0,1,1
Decatur|Kansas|US,39.78468441,-100.4594081,176.8659356,0,0,0,0,0,6,0,0,1
Dickinson|Kansas|US,38.86600962,-97.15532383,216.6143182,0,0,1.5625,0,0,64,0,1,1
Doniphan|Kansas|US,39.79067154,-95.14056866,578.9473684,0,0,0,0,0,58,0,0,1
Douglas|Kansas|US,38.88503636,-95.2925121,519.3891656,0,0,0.896860987,0,0,892,0,8,1
Edwards|Kansas|US,37.88735543,-99.31263309,357.3981415,0,0,0,0,0,12,0,0,1
Elk|Kansas|US,37.45338105,-96.24369667,39.5256917,0,0,0,0,0,1,0,0,1
Ellis|Kansas|US,38.91458712,-99.31751551,437.7823696,0,0,0.555555556,0,0,180,0,1,1
Ellsworth|Kansas|US,38.69677695,-98.20462799,294.9852507,0,0,0,0,0,24,0,0,1
Finney|Kansas|US,38.04340344,-100.7381938,4705.624263,0,0,0.650759219,0,0,1844,0,12,1
Ford|Kansas|US,37.69200114,-99.88825298,5999.583569,0,0,0.454132607,0,0,2202,0,10,1
Franklin|Kansas|US,38.56443815,-95.28644341,555.903539,0,0,0.823045267,0,0,243,0,2,1
Gove|Kansas|US,38.91588178,-100.4829321,113.8088012,0,0,0,0,0,7,0,0,1
Graham|Kansas|US,39.34987223,-99.88332493,604.3513296,0,0,0,0,0,23,0,0,1
Gray|Kansas|US,37.73836671,-100.4369088,1185.704743,0,0,0,0,0,98,0,0,1
Greeley|Kansas|US,38.4808095,-101.8061079,243.5064935,0,0,0,0,0,4,0,0,1
Greenwood|Kansas|US,37.8774388,-96.23250453,250.7522568,0,0,0,0,0,23,0,0,1
Hamilton|Kansas|US,37.99978709,-101.7921066,1417.881056,0,0,0,0,0,42,0,0,1
Harper|Kansas|US,37.19175361,-98.07578384,147.1670346,0,0,0,0,0,35,0,0,1
Harvey|Kansas|US,38.04293782,-97.42747573,426.9656394,0,0,1.47601476,0,0,271,0,4,1
Haskell|Kansas|US,37.5620394,-100.8710738,1159.274194,0,0,0,0,0,44,0,0,1
Hodgeman|Kansas|US,38.08780079,-99.89829881,613.154961,0,0,0,0,0,12,0,0,1
Jackson|Kansas|US,39.41673394,-95.79356799,1078.126186,0,0,0.552486188,0,0,181,0,1,1
Jefferson|Kansas|US,39.2347941,-95.38289232,278.317492,0,0,0,0,0,104,0,0,1
Jewell|Kansas|US,39.78470589,-98.21820662,277.8742619,0,0,7.142857143,0,0,14,0,1,1
Kearny|Kansas|US,38.00017981,-101.321681,1406.982804,0,0,1.470588235,0,0,68,0,1,1
Kingman|Kansas|US,37.55909527,-98.13638678,111.8568233,0,0,0,0,0,34,0,0,1
Kiowa|Kansas|US,37.55848695,-99.2856537,242.4242424,0,0,0,0,0,8,0,0,1
